Id,Name,Tier
1,Field Camp,1
2,Player's City,1
4,Portal,1
5,,1
6,,1
7,,1
8,Village,1
9,Village,1
10,Village,1
11,Village,2
12,Village,3
13,Village,4
14,Village,5
15,Village,6
16,Village,7
17,Village,8
18,Village,9
19,Village,10
20,Village,11
21,Village,12
22,Village,13
23,Village,14
24,Village,15
25,Village,16
26,Village,17
27,Village,18
28,Village,19
29,Village,20
30,Village,21
31,Village,22
32,Village,23
33,Village,24
34,Village,25
35,Farmer's House,1
36,Farmer's House,2
37,Farmer's House,3
38,Farmer's House,4
39,Farmer's House,5
40,Farmer's House,6
41,Farmer's House,7
42,Farmer's House,8
43,Farmer's House,9
44,Farmer's House,10
45,Farmer's House,11
46,Farmer's House,12
47,Farmer's House,13
48,Farmer's House,14
49,Farmer's House,15
50,Farmer's House,16
51,Farmer's House,17
52,Farmer's House,18
53,Farmer's House,19
54,Farmer's House,20
55,Farmer's House,21
56,Farmer's House,22
57,Farmer's House,23
58,Farmer's House,24
59,Farmer's House,25
60,Sawmill,1
61,Sawmill,2
62,Sawmill,3
63,Sawmill,4
64,Sawmill,5
65,Sawmill,6
66,Sawmill,7
67,Sawmill,8
68,Sawmill,9
69,Sawmill,10
70,Sawmill,11
71,Sawmill,12
72,Sawmill,13
73,Sawmill,14
74,Sawmill,15
75,Sawmill,16
76,Sawmill,17
77,Sawmill,18
78,Sawmill,19
79,Sawmill,20
80,Sawmill,21
81,Sawmill,22
82,Sawmill,23
83,Sawmill,24
84,Sawmill,25
85,Mine,1
86,Mine,2
87,Mine,3
88,Mine,4
89,Mine,5
90,Mine,6
91,Mine,7
92,Mine,8
93,Mine,9
94,Mine,10
95,Mine,11
96,Mine,12
97,Mine,13
98,Mine,14
99,Mine,15
100,Mine,16
101,Mine,17
102,Mine,18
103,Mine,19
104,Mine,20
105,Mine,21
106,Mine,22
107,Mine,23
108,Mine,24
109,Mine,25
110,Quarry,1
111,Quarry,2
112,Quarry,3
113,Quarry,4
114,Quarry,5
115,Quarry,6
116,Quarry,7
117,Quarry,8
118,Quarry,9
119,Quarry,10
120,Quarry,11
121,Quarry,12
122,Quarry,13
123,Quarry,14
124,Quarry,15
125,Quarry,16
126,Quarry,17
127,Quarry,18
128,Quarry,19
129,Quarry,20
130,Quarry,21
131,Quarry,22
132,Quarry,23
133,Quarry,24
134,Quarry,25
140,Common Gold Mine,5
141,Common Gold Mine,10
142,Common Gold Mine,15
143,Common Gold Mine,20
144,Common Gold Mine,25
145,Epic Gold Mine,25
150,Conquest Arena,5
151,Conquest Arena,10
152,Conquest Arena,15
153,Conquest Arena,20
154,Conquest Arena,25
160,Valor Arena,5
161,Valor Arena,10
162,Valor Arena,15
163,Valor Arena,20
164,Valor Arena,25
170,Enemy City Nilawield,1
171,Enemy City Gokus,1
172,Enemy City Gojar,1
173,Enemy City Follador,1
174,Enemy City Kelerus,1
175,Enemy City Tugore,1
176,Enemy City Fergas,1
177,Enemy City Whitebreaker,1
178,Enemy City Daigor,1
179,Enemy City Darkhammer,1
180,Enemy City Mightshaper,1
181,Enemy City Sador,1
182,Enemy City Vizshura,1
183,Enemy City Danara,1
184,Enemy City Gazius,1
185,Enemy City Beameena,1
186,Enemy City Kigajin,1
187,Enemy City Delarius,1
188,Enemy City Akinoramar,1
189,Enemy City Flamewood,1
190,Village,1
199,Dragon Mound,5
200,Dragon Mound,10
201,Dragon Mound,15
202,Dragon Mound,20
203,Golden Mountain,5
204,Golden Mountain,10
205,Golden Mountain,15
206,Golden Mountain,20
207,Golden Mountain,25
208,Wellspring Ruins,15
209,Wellspring Ruins,20
210,Wellspring Ruins,5
211,Wellspring Ruins,10
212,Wellspring Ruins,25
222,Quarry,25
250,Rare Cursed squad,16
251,Common Elf squad,2
252,Common Barbarian squad,24
300,Village,33
301,Village,33
302,Village,33
303,Village,33
304,Village,33
305,Village,33
306,Village,33
307,Village,33
308,Village,33
309,Village,33
